Reporting Area,MMWR Year,MMWR Week,"Spotted fever rickettsiosis, Confirmed, Current week","Spotted fever rickettsiosis, Confirmed, Current week, flag ","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2019†","Spotted fever rickettsiosis, Confirmed, Cum 2019†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2018†","Spotted fever rickettsiosis, Confirmed, Cum 2018†, flag","Spotted fever rickettsiosis, Probable, Current week","Spotted fever rickettsiosis, Probable, Current week, flag","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Probable,  Cum 2019†","Spotted fever rickettsiosis, Probable,  Cum 2019†, flag","Spotted fever rickettsiosis, Probable,  Cum 2018†","Spotted fever rickettsiosis, Probable, Cum 2018†, flag","Smallpox, Current week","Smallpox, Current week, flag ","Smallpox, Previous 52 weeks Max†","Smallpox, Previous 52 weeks Max†, flag","Smallpox, Confirmed, Cum 2019†","Smallpox, Cum 2019†, flag","Smallpox, Cum 2018†","Smallpox, Cum 2018†, flag",Location 1,Location 2
HAWAII,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2019,1,,-,1,,,-,,-,,-,49,,,-,1,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2019,1,,-,1,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2019,1,,-,1,,,-,,-,,-,10,,,-,2,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2019,1,,-,4,,,-,,-,,-,48,,,-,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH DAKOTA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2019,1,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2019,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARIZONA,2019,1,,-,2,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WISCONSIN,2019,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2019,1,,-,2,,,-,,-,,-,16,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
LOUISIANA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
COLORADO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UTAH,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MONTANA,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2019,1,,-,2,,,-,,-,,-,37,,,-,2,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
GUAM,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2019,1,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2019,1,,-,1,,,-,,-,,-,9,,,-,1,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
GEORGIA,2019,1,,-,3,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2019,1,,-,2,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2019,1,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2019,1,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2019,1,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2019,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VIRGINIA,2019,1,,-,1,,,-,,-,1,,28,,1,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2019,1,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IDAHO,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2019,2,,-,1,,,-,,-,,-,9,,,-,4,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2019,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2019,2,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2019,2,,-,2,,,-,,-,,-,16,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2019,2,,-,1,,,-,,-,,-,10,,,-,2,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
HAWAII,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KENTUCKY,2019,2,,-,1,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OREGON,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEVADA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2019,2,,-,1,,,-,,-,,-,49,,,-,1,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST SOUTH CENTRAL,2019,2,,-,2,,,-,,-,1,,50,,1,,2,,,-,0,,,-,,-,,
TOTAL,2019,2,,-,13,,,-,,-,2,,264,,6,,23,,,-,0,,,-,,-,,
MASSACHUSETTS,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OHIO,2019,2,,-,1,,,-,,-,,-,5,,,-,2,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2019,2,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2019,2,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2019,2,,-,0,,,-,,-,1,,49,,1,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST NORTH CENTRAL,2019,2,,-,5,,,-,,-,,-,61,,1,,1,,,-,0,,,-,,-,,
DISTRICT OF COLUMBIA,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2019,2,,-,1,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2019,2,,-,1,,,-,,-,1,,28,,2,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2019,2,,-,2,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
EAST SOUTH CENTRAL,2019,2,,-,2,,,-,,-,,-,81,,1,,6,,,-,0,,,-,,-,,
SOUTH DAKOTA,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GEORGIA,2019,2,,-,3,,,-,,-,,-,3,,1,,1,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW YORK CITY,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,
MOUNTAIN,2019,2,,-,3,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,,
SOUTH CAROLINA,2019,2,,-,1,,,-,,-,,-,5,,,-,2,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW ENGLAND,2019,2,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,,
US RESIDENTS,2019,2,,-,13,,,-,,-,2,,264,,6,,23,,,-,0,,,-,,-,,
WYOMING,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2019,2,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
AMERICAN SAMOA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,
WASHINGTON,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
ALABAMA,2019,2,,-,2,,,-,,-,,-,37,,1,,4,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2019,2,,-,4,,,-,,-,,-,48,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2019,2,,-,0,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2019,2,,-,2,,,-,,-,,-,26,,,-,1,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PACIFIC,2019,2,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,,
UTAH,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2019,2,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MIDDDLE ATLANTIC,2019,2,,-,3,,,-,,-,,-,13,,,-,4,,,-,0,,,-,,-,,
IDAHO,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
GUAM,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MARYLAND,2019,2,,-,3,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2019,2,,-,2,,,-,,-,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
EAST NORTH CENTRAL,2019,2,,-,2,,,-,,-,,-,24,,,-,4,,,-,0,,,-,,-,,
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2019,2,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH ATLANTIC,2019,2,,-,6,,,-,,-,1,,64,,3,,4,,,-,0,,,-,,-,,
WYOMING,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST SOUTH CENTRAL,2019,3,,-,2,,,-,,-,3,,50,,4,,3,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NEW YORK CITY,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
GEORGIA,2019,3,,-,3,,,-,,-,,-,3,,1,,1,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH ATLANTIC,2019,3,,-,6,,,-,,-,,-,64,,4,,6,,,-,0,,,-,,-,,SOUTH ATLANTIC
NEW MEXICO,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
US RESIDENTS,2019,3,,-,12,,,-,,-,3,,263,,13,,38,,,-,0,,,-,,-,,US RESIDENTS
NEW JERSEY,2019,3,,-,1,,,-,,-,,-,9,,1,,5,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2019,3,,-,2,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
PACIFIC,2019,3,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC
WEST VIRGINIA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2019,3,,-,0,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2019,3,,-,2,,,-,,-,,-,16,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2019,3,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2019,3,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2019,3,,-,1,,,-,,-,,-,28,,2,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2019,3,,-,1,,,-,,-,,-,49,,,-,4,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2019,3,,-,2,,,-,,-,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTH CAROLINA,2019,3,,-,2,,,-,,-,,-,27,,,-,3,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2019,3,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2019,3,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2019,3,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
ILLINOIS,2019,3,,-,1,,,-,,-,,-,10,,,-,3,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2019,3,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST NORTH CENTRAL,2019,3,,-,4,,,-,,-,,-,61,,2,,1,,,-,0,,,-,,-,,WEST NORTH CENTRAL
NEVADA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VERMONT,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALASKA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
EAST SOUTH CENTRAL,2019,3,,-,2,,,-,,-,,-,81,,2,,13,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
SOUTH CAROLINA,2019,3,,-,1,,,-,,-,,-,5,,,-,2,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DISTRICT OF COLUMBIA,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MIDDDLE ATLANTIC,2019,3,,-,2,,,-,,-,,-,13,,1,,5,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
